序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,287604717856,97121309,家电鉴优站,3,保密,视频里的实验或演示很成功，能直观地证明观点，比单纯的理论讲解更有说服力。?,2026-01-05 11:10:39,0,0,同品类 3-5 款家电横向 PK，从性能、价格、售后逐项打分，结果公开透明，帮你快速选出性价比之王。,四川,否,https://i2.hdslb.com/bfs/face/6c0191c5971d4c0a4915c20086c3c5d185097e08.jpg
2,0,287602040256,400985314,春水草色向南深,6,男,目前的AI无法自主创作，思考。人有无穷的想象，这是目前AI无法睥睨人的。我也经常用suno生成音乐，把它调成一首我喜欢的歌，用gemini生成小说，把它调成我想要的故事。这些技能都不是我所拥有的，但是我能用我想要的来做到能做到的。,2026-01-05 10:44:39,0,0,"路逐山光何处尽，春随草色向南深
（接战场，深渊）",广东,是,https://i1.hdslb.com/bfs/face/7d20d581661a33ac11c22b4b2580c5971c6e4121.jpg
3,0,287591562576,354468314,wx9643324,5,保密,人类的感情的本质是什么呢，是脑电波的模拟吗，是可测的实体吗，如果AI能复制一个人的所有大脑信息重新创造一个新的赛博大脑，那这个大脑又属于什么呢，现在的AI还远远没到那一步，不过我相信，会有这一天的，那时才是真的要打一个问号了，现在么就是一个超高效率的工具罢了,2026-01-05 08:49:57,0,0,,江苏,是,https://i2.hdslb.com/bfs/face/23eb5626c734f3cf56cd2f70fe759f85e46ac6a2.jpg
4,0,287570382528,56406623,CodeVI-曹操,6,男,不完美才是完美,2026-01-05 04:17:41,0,0,,广西,是,https://i2.hdslb.com/bfs/face/7417b15f346179715c3527f3c0016418bd4e7da0.jpg
5,0,285504412081,111130869,战术宅Otaku,6,保密,"ai只能是工具，ai与人类的艺术是背离的。
艺术，作为人情感的表达、思想的延申，和人类本身的情感一样，是含蓄的。
ai，恰恰需要具体的表达。
ai缺乏情感，正如人一样，ai无法理解从未见过的东西。
人和ai终究是不同的，人的认识，所经历的故事，构成了人的情感。
但人终究是不善表达的，ai作为工具，所提供的创造力是近乎无限的，ai可以突破技术与工具的限制，让人更好的表达自己，传递情感。
此时能够限制人的，只有人自己。
未来已至。",2026-01-05 03:13:26,0,0,奇奇怪怪,山东,是,https://i0.hdslb.com/bfs/face/64ce88d4c8667dc1d2c7bdf1892f2daed67854f3.jpg
6,0,287547130816,355322412,维新运动,5,保密,"生产力大幅提高之后，我们就可以进入共产主义世界了
一切物质按需分配",2026-01-04 18:42:18,0,0,,江苏,否,http://i0.hdslb.com/bfs/face/191c652feee2806185cf0553cec036da508d9cb0.jpg
7,0,285483714161,1046592993,HUAiTiNG_247,5,保密,@视频AI问答助手  帮我把这个故事的主要内容以及字幕生成出来,2026-01-04 17:24:47,0,0,,河南,否,https://i0.hdslb.com/bfs/face/eeda7004f416e7df391678fa6a55a09db3697df4.jpg
8,0,287535961024,98923743,实测辨好物,3,保密,视频里的实验或演示很成功，能直观证明观点，比单纯理论讲解更有说服力，效果很好。?,2026-01-04 15:47:35,0,0,每款产品都经 “细节 + 功能” 双重实测，从家居小物到美妆单品全覆盖，不夸大优势、不隐瞒短板，附真实体验，帮你精准避坑。,四川,否,https://i0.hdslb.com/bfs/face/7acb7337a6e87625cc56f1d1b8ba12886f3f254d.jpg
9,0,285473395249,2058410093,bili_32371584716,4,保密,人跟AI的区别是，AI给你的答案是固定的，人给你答案是随机的,2026-01-04 15:17:03,0,0,,浙江,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
10,0,285471280449,1992658774,哇练习册意思意思,4,男,不可发送单个标点符号,2026-01-04 14:55:34,0,1,"
",四川,否,https://i1.hdslb.com/bfs/face/92adb926d9646075a485a8dab55b0090c2b1abcd.jpg
