序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,243168925409,491676057,戒色敲钟者,5,男,借罗老师视频打个广告：各位看官，如果想自己考好大学，考公务员，事业有成，家庭幸福美满。告诉大家一个方法：不邪淫（手淫，意淫，嫖娼，婚前性行为），切不可相信适度无害。如邪淫，当下即是地狱。；孝顺父母，父母是最大的佛。大家可以搜索彭鑫教授，秦东魁老师，关北辰老师的视频。感恩一切。,2024-09-28 02:36:07,0,2,➕q1005917541，给你专属戒色方案。不卖课，不收费，只愿所有人都能远离邪淫。,重庆,否,https://i0.hdslb.com/bfs/face/1150e438aef51e8fdd410a4368d76e5ef2cb4ce8.jpg
2,0,241358933553,1946816164,无名氏466852号,5,保密,只是觉得每个人终究会有想见一面但是再也见不到的人。驱动技术的不一定是人性的暗，还可能是所遗留的最后一点纯粹。这样的技术，是日夜思念不得后最后的一点希望与慰藉，在生者与死者之间，也许存在难以消除的量化与物化的现实，但真正连接两者的是真挚强烈的情感。如果进步的技术能给予陷入痛苦的人一点温暖，至少不应该打压这种技术的研究和发展。只是需要监管，比如谁有权申请购买使用、应对申请者进行怎样的背景资质审核、能否转让、能否以使用权盈利、提供技术的是私有企业还是国家单位、是否划定使用的限定区域。我更喜欢称这种东西为电子墓地，只是它与我们的传统不一致，但并不一定就是不好的。,2024-09-04 16:03:51,0,0,，,重庆,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
3,0,241195028145,3546724381493355,安全的卫星,2,保密,但他也是迫不得身不由己。和你一样，你没必要因为一个女儿，把自己的大利益给丢了。,2024-09-02 14:42:33,1,1,,浙江,否,https://i0.hdslb.com/bfs/face/b0f5505e815105866099bca6d138bc80e823b7c9.jpg
4,241195028145,241195236401,3546724381493355,安全的卫星,2,保密,你对罗留的情感，可能淡如薄纸，因为真正的爱不是证明，而是行动。,2024-09-02 14:43:13,0,0,,浙江,否,https://i0.hdslb.com/bfs/face/b0f5505e815105866099bca6d138bc80e823b7c9.jpg
5,0,241195138929,3546724381493355,安全的卫星,2,保密,从长远来看，因为很多做错的事负责，但从大局来看，真正做的还是那些还原逝者害人的人，那些中间商最多叫无情 张 开 弓 矢,2024-09-02 14:41:10,0,1,,浙江,否,https://i0.hdslb.com/bfs/face/b0f5505e815105866099bca6d138bc80e823b7c9.jpg
6,0,241194629953,3546724381493355,安全的卫星,2,保密,被动。,2024-09-02 14:37:06,1,1,,浙江,否,https://i0.hdslb.com/bfs/face/b0f5505e815105866099bca6d138bc80e823b7c9.jpg
7,241194629953,241194742017,3546724381493355,安全的卫星,2,保密,我不是主动的,2024-09-02 14:37:13,0,0,,浙江,否,https://i0.hdslb.com/bfs/face/b0f5505e815105866099bca6d138bc80e823b7c9.jpg
8,0,238181613776,479583710,以月之名义,6,保密,[doge]别的我不知道，我只知道，ai首先会应用在av方面，这是肯定的。,2024-08-16 13:02:16,0,0,看你爸爸干嘛，想私信骂我，想多了，小狗子,河南,是,https://i2.hdslb.com/bfs/face/c24d87f8d74c26886a9ee161bc80ce8f5c280642.jpg
9,0,237308304960,3493081632475877,泰拉瑞亚法爷,5,男,标题看成复活亲人有法律风险吗了,2024-08-12 11:14:06,0,0,,山东,否,https://i2.hdslb.com/bfs/face/5dda0edb4a1aa1178510a4f80d49e1d0164168cb.jpg
10,0,236087349696,1464555355,零花钱豆,5,保密,就会像什么呢？！人在家中坐锅从天上来的那种感觉！所以不喜欢ai复活！也许本来一生行善积德该往生天界去享福的，结果阎王殿收到一堆状纸，你就得等会，先去阎王殿前对质清楚，很烦躁的好吧！结果一对质还连自己都不知道自己什么时候做了那些事，说了那些话，挺恶心人的！！,2024-08-06 11:06:26,0,0,想注销账号，东西快删完了，才发现可以直接更换手机号码。。。还没找到注销之方法，算了，不管了。。。,湖南,否,https://i1.hdslb.com/bfs/face/95c92cf77f98147b7d8f9c2af2e23b5e453f4eef.jpg
11,0,236085697216,1464555355,零花钱豆,5,保密,我若死了，我不希望ai复活！站在轮回的角度上来说，原本离开这个世界是与这个世界尘缘已了已断！但离开后还有人利用我的影像做恶或者欺骗人，老实讲我怕背黑锅背因果，如果生前做恶在阎王殿前只判十年，结果因为ai复活，利用我的影像造孽祸乱四方，结果给改判个无期，那就真的很冤枉了[吃瓜]因为冤亲债主们不知道那是假的，直接就会找到你本人（鬼）！,2024-08-06 10:58:18,0,0,想注销账号，东西快删完了，才发现可以直接更换手机号码。。。还没找到注销之方法，算了，不管了。。。,湖南,否,https://i1.hdslb.com/bfs/face/95c92cf77f98147b7d8f9c2af2e23b5e453f4eef.jpg
12,0,233682742192,310992615,星空虚幻的月,4,女,两界之火会使双方都痛苦不堪，越是留念，越是痛苦，越是痛苦却越是留念，直至自己不成人样，还不如出去看看，转移转移视线，让笑容扬于脸旁，让逝者放心离去。[嗑瓜子][笑]问一下，如果写智能生命灭忘人类的小说会违法吗，现在的法实在让迷茫啊，我不扶不行啊[笑哭],2024-07-26 00:14:42,0,0,黑暗料理店,山西,否,http://i0.hdslb.com/bfs/face/3826f97a4173f1663a26720221c8611b32cd831f.jpg
13,0,233081179856,22586869,aqus,6,女,欲望有什么不好的？,2024-07-23 01:31:16,0,0,"你呀

nino呀",山东,是,https://i1.hdslb.com/bfs/face/0010f77cf72e7c54d4adbcdee73e2ef6611d83e2.jpg
14,0,232936943024,412816313,玉鹧鸪,4,女,"人们为了弥补过去的那些错过和缺憾，总想充当上帝的角色，用冰冷的机器和数据修复着过去的世界。
用科技或许可以重现逝去的美好，但这终究是徒劳的。科技只能复制躯壳，灵魂是唯一的，永远没办法复制，上帝也做不到。人是渺小的，人就是人，不是造物主。
所爱终会离去，我们只能做的就是；珍惜眼前的拥有！",2024-07-22 06:37:01,0,0,不多说了，就是1天一更，点赞关注可以一天双更欧,湖北,是,https://i2.hdslb.com/bfs/face/90f82e06f4082f296fbe1129e6d5be7d92d2f3da.jpg
15,0,232781709280,79372543,闪电轮椅,6,保密,ai复活的话，对死人来说会不尊重。但是活人来说，就可以玩离间（比如让暗恋女孩子用ai复活，向我表白，然后她男朋友会跟她闹矛盾，哈哈哈哈哈），之前有这么玩过,2024-07-21 10:33:26,0,1,ⓘ 该账号封禁中,江苏,否,https://i1.hdslb.com/bfs/face/eeb66c8d6c0867564ffdb1d0e4689f9477432e81.jpg
16,0,232252171360,408267247,张三阿寿,5,保密,我应该怎么做才不被……,2024-07-18 15:08:44,0,0,".大家好，我是网民张三，一个农民的儿子。

公众浩：张三阿寿。
.不喜欢欢迎拉黑。",广东,否,https://i1.hdslb.com/bfs/face/c01a528623e83b83bca8cdc721e58f94437795bc.jpg
17,0,231616191232,105046255,迷途米糊,6,保密,流浪地球丫丫这么快就要实现了吗,2024-07-15 11:02:45,0,1,,天津,否,https://i1.hdslb.com/bfs/face/5bb2865c261427ce104623c6013d50569de287a1.jpg
18,0,230993979536,3537107433818377,乐仙音女神,5,女,"人工智能复活
多没意思，只不过
是人工智能
虚伪的拙劣模仿
而已！真要复活的话，
就用科技的手段
实现绝对复活，
就比如某个人
昨天死了，然后
今天利用
科技手段直接
复活。而且
视频创作者
可是个法学家，
众所周知，法律
也是有漏洞的。
@周鸿祎 这个人
曾经说过一句话
叫做：“人
才是最大的漏洞！
因为是个人就会
犯错！”众所周知，
法学家不是神，
所以说，懂我
意思了吧？没有人
是不愿意被
科技复活的，尤其
是被复活之后，
想要的客观
物质都有，甚至于
在认知方面直接
实现超等教育，
顺便成为思想家，
哲学家，艺术家，
科学家。哪怕是
秦始皇都不例外！
目前的人工智能
耍的手段也仅仅
只是拙劣模仿而已，
@周鸿祎 的数字人
代表不了他自己。
西游记里面有
真假孙悟空，而
如来就是西游记
最大的漏洞，因为
历史上的释迦牟尼
可不是那样的人，
如今科技都已经
发达到了
“真假孙悟空”的
地步了。但是仍旧
不能让我满意，
因为科幻小说
有一个片段，只要
输入一篇文章
进去，这一篇
文章是故事，然后
人工智能瞬间给你
生成一部电视剧，
甚至是电影，你
编一个段子，直接
给你生个短视频。[妙啊][doge]",2024-07-12 03:28:13,0,0,"吾乃道轮女神，
抄袭
某个释迦牟尼，
发无穷极宏愿。
复活在时间维度上，
现在，过去，未来
所有已死之人，
在霍金梦想维度之中，
吾为永生。",河南,否,https://i1.hdslb.com/bfs/face/016b34a4d622e9fdd86e4d1d55664d42339ce0fc.jpg
19,0,230747202752,94284328,bili_94284328,6,男,哪天罗老师出事了，就用这个复活他,2024-07-10 15:15:31,0,0,,浙江,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
