序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,287592782160,1937201031,腻腻歪歪画,5,保密,话说怎么没有蛇团？,2026-01-05 09:05:20,0,0,,江苏,是,https://i0.hdslb.com/bfs/face/c344f64b99b93c8dbe8c7ff5d7aba4365013970f.jpg
2,0,287587571712,100347626,Velorita,6,男,越过长城，走向世界,2026-01-05 07:55:30,0,0,还需努力        q群:264463748 材质包在这里,湖南,是,https://i2.hdslb.com/bfs/face/1bf6e5783effbe4869d6c846bcf3c97e4082278d.jpg
3,0,285511729441,2064465655,小小心兑,4,女,现在距08年已经过去16年了。。好快，一眨眼。,2026-01-05 04:40:43,0,0,豹豹猫猫就这样一直甜翻全世界吧！我最最最爱泥萌噜！,重庆,否,https://i1.hdslb.com/bfs/face/624414affb5080f0a2de06bfd7419a91fbd23e83.jpg
4,0,287557086288,104680533,Gustav-Mahler,6,保密,xxxx-1968,2026-01-05 01:08:20,0,0,,广东,否,http://i0.hdslb.com/bfs/face/9d7440d3579aa323257249e24b70e11c8c1e1c4f.jpg
5,0,285488915729,3546706148854498,中二病也要吃饭睡觉,4,女,北京欢迎你，你还真去啊[笑哭][笑哭],2026-01-04 19:54:38,0,2,不知名白日做梦选手,湖北,否,https://i1.hdslb.com/bfs/face/86c03353c8880ba73711a014ad949b0fb48a5bd3.jpg
6,0,285487849649,38885988,博衣-1,6,保密,仍是经典永传唱[鸣潮·共鸣与群星_点赞],2026-01-04 19:07:11,0,0,先有自我，才无枷锁,江苏,是,https://i0.hdslb.com/bfs/face/391d7dc80a76f4018061f14784640e194cee7263.jpg
7,0,287546860720,381448125,星烽,5,保密,@菜鸡玩家APP @顺着阳光盛大逃亡 @甜甜花菜鸡 @香彩笔 @亚西蕾 @A2厨 @九路77号 @年糕炖奶油 老东西都来回忆童年,2026-01-04 18:41:52,2,1,,贵州,否,https://i0.hdslb.com/bfs/face/f5bf3d48b07e1539a6afd4693b29cda8b69c430a.jpg
8,287546860720,285503728017,56814267,顺着阳光盛大逃亡,6,保密,[怪我咯]神级,2026-01-05 03:04:43,0,0,,海南,否,https://i0.hdslb.com/bfs/face/ca331a9d1360a7421f21ab7376e17df64a525343.jpg
9,287546860720,285509624689,324326752,香彩笔,6,男,[大哭],2026-01-05 04:18:13,0,0,呐呐呐,浙江,否,https://i1.hdslb.com/bfs/face/c9219bd92287df0269b04d99a83767a665544156.jpg
10,0,285482379569,14288397,认识论转向,6,男,大幕落下,2026-01-04 17:03:56,0,0,绊此生，爱永随,天津,否,https://i0.hdslb.com/bfs/face/e894e2a0078d1c434cf4d3ac0a7ce602069a7a79.jpg
11,0,285477593681,368110666,骑卷平冈,6,男,2026年而立之年，依旧怀念那个2008！,2026-01-04 16:02:28,1,0,春风若有怜花意，可否许我再少年,辽宁,否,https://i1.hdslb.com/bfs/face/e88a3503d62ee8f278e1dc8ecdf67b1dcfa45859.jpg
12,285477593681,285477972177,368110666,骑卷平冈,6,男,为何我如此怀念那个2008！,2026-01-04 16:04:57,0,0,春风若有怜花意，可否许我再少年,辽宁,否,https://i1.hdslb.com/bfs/face/e88a3503d62ee8f278e1dc8ecdf67b1dcfa45859.jpg
13,0,287530218960,3546971455359642,马猴烧酒利歪避难所,2,保密,欢迎你[调皮][笑哭][笑哭],2026-01-04 14:51:44,0,0,,福建,否,https://i0.hdslb.com/bfs/face/508b988de3e2214f4c32a47181dc5005b041ba18.jpg
14,0,285455230177,1963308753,开汽车的都没素质,5,男,奥运会当年办起来很艰难的，因为奥运会前三个多月发生了汶川大地震,2026-01-04 12:22:35,0,1,,浙江,是,https://i0.hdslb.com/bfs/face/c59f217e7c6fb8fdc646b07552f517c2956ed83b.jpg
15,0,287497670800,490215128,优势别慌我会送的,5,保密,轻舟已过万重山,2026-01-04 09:42:58,0,0,,上海,否,http://i0.hdslb.com/bfs/face/member/noface.jpg
16,0,285425080369,95234580,久而画质,6,男,转眼都二五年了。,2026-01-04 06:44:50,1,0,,河北,否,https://i0.hdslb.com/bfs/face/f1317d88c91a3b3514bc3e8d4c0c7d8c47ad16b0.jpg
17,285425080369,287508189248,587201227,优卡西-,5,女,嗯？不是二六年嘛,2026-01-04 11:24:00,0,0,专属lenamiu,内蒙古,否,https://i1.hdslb.com/bfs/face/7dfc4f78966ce78683a5cd2d350a7c321ccad459.jpg
18,0,285369344721,1697364969,明天zai哪里,5,保密,刘畔宏抱上杰伦大腿才能上吧？,2026-01-03 14:35:04,0,0,,广东,否,https://i0.hdslb.com/bfs/face/bc39fd6c887ca0015ff3d1ca9c5f5631cb176129.jpg
19,0,287395992976,49711716,kuroiiii,5,男,@相逢即是上上上签,2026-01-03 10:05:11,0,0,はな,河北,是,http://i0.hdslb.com/bfs/face/0559a2f7b848f3c5d418ccea5066d5afc841ce3d.jpg
20,0,285318812625,1995214783,伊安奇,6,男,@耶比耶比_耶 @钉十字架上 @六狐_Rokukitsu 赛博文物,2026-01-03 06:19:06,0,1,For what?,江苏,是,https://i1.hdslb.com/bfs/face/396d8faf7b711784a3ad8d08e82d02e1ee9c144b.jpg
21,0,287366112848,3546737713089242,阿斯巴甜不耐受,4,保密,It’s all gone and not coming back,2026-01-03 05:01:29,0,0,你的苦难很配你的认知,浙江,否,https://i2.hdslb.com/bfs/face/a24bcacf7dc4559a968350b2a270dfd151c34c41.jpg
22,0,287321404624,378846435,よし侏西,6,男,欣欣向荣的年代啊,2026-01-02 15:47:53,0,6,,上海,否,https://i0.hdslb.com/bfs/face/b575af465533178c63cb84e0b11488965652a151.jpg
23,0,287321086704,22905545,你藏在哪里_,6,女,有大佬知道间奏那是什么乐器吗,2026-01-02 15:44:20,0,0,失去了太多，又留下什么,黑龙江,否,https://i2.hdslb.com/bfs/face/4762add6515bdb4a76f20a944bcb9717bc1aa358.jpg
24,0,287273112480,504720425,敏感词不予显示捏,5,保密,倾城共备奥运,2026-01-02 08:26:30,0,0,覆舟水是苍生泪 不到横流君不知,辽宁,是,https://i2.hdslb.com/bfs/face/543ddd757eb6c6bdaeb29e04d686a47c0ce109ca.jpg
25,0,285198234369,10069581,Robinソ,6,保密,97年老登，还记得08年站着电视面前听的热血沸腾[大哭],2026-01-02 04:27:27,0,4,ⓘ该账号封禁中,江苏,否,https://i0.hdslb.com/bfs/face/fe1bad24a81ead9c0bd70c3326b2fbe856d60598.jpg
26,0,285189873729,1883656564,灵梦的信箱,5,男,差一年出生( ゜- ゜)つロ,2026-01-02 03:01:25,0,0,"1+⑨=⑨
2+⑨＝⑨
3+⑨＝⑨
4+⑨＝⑨
5+⑨＝⑨
6+⑨＝⑨
7+⑨＝⑨
8+⑨＝⑨
⑨+⑨＝⑨",重庆,否,https://i1.hdslb.com/bfs/face/0c894dec0912b21cb608d0abdd147374cb24bc5b.jpg
27,0,287221023984,436846931,糖仁街碳鹌,5,男,常看常新,2026-01-01 18:18:51,0,0,,四川,是,https://i2.hdslb.com/bfs/face/67ee5438a5bccd0867e531b1c2f82745b0a62b91.jpg
28,0,285169380753,470100468,Maggie丶miamia,6,男,新年快乐,2026-01-01 18:05:08,0,0,世间不可直视只物，一个是太阳，另一个是人心,山东,否,https://i0.hdslb.com/bfs/face/ff12d0967786b7433598fb3b9196f126d8964e73.jpg
29,0,285159282961,3546776959191669,JZAN233,4,保密,新年快乐，希望更好,2026-01-01 15:48:16,0,0,,天津,是,https://i0.hdslb.com/bfs/face/1fd53eb54cf785041a10f1258e2b2373b9781b33.jpg
30,0,287205269040,431221865,白嫖实在是太棒了,5,保密,@佐零还是佐灵 听哭了,2026-01-01 15:02:34,0,0,那不重要了,北京,否,https://i2.hdslb.com/bfs/face/38f6605f1594facd8febe0873295220fa0b77f7e.jpg
31,0,285146584737,86164999,最爱陈小白,6,保密,又来听了,2026-01-01 13:47:57,0,0,,天津,否,http://i1.hdslb.com/bfs/face/1dd25a792b8c6af3ff6c7736699c78ca77a202a1.jpg
32,0,285136646785,95964198,印第安细斑鸠,6,保密,新年快乐！！,2026-01-01 12:14:06,0,2,"我是杰伦永远的歌迷朋友
希望杰伦健康幸福",湖南,否,https://i0.hdslb.com/bfs/face/6227cd64e8a397a4c17a63fccfa094ae8cb49917.jpg
33,0,285112481281,7547967,刀刀在花樹研究所,6,女,我觉得很可爱的是 如果按照现在kpop流行的给每个明星歌词长度排名最长的是孟广禄老师哈哈哈哈,2026-01-01 08:13:40,0,2,哈！,北京,是,http://i1.hdslb.com/bfs/face/f6e23cb019006b4c9676d1f643bc497c84216f4e.jpg
34,0,285107017809,3494359838230795,Thomas_ture,4,男,新年快乐,2026-01-01 07:12:18,0,1,,四川,否,https://i1.hdslb.com/bfs/face/8a5b0a63367c8675862dde3902766b2d70dfb234.jpg
35,0,285105661153,3546733619448253,星终_章,3,保密,二零二六年了还在听的是这个[支持],2026-01-01 06:56:56,0,8,至幸,重庆,否,https://i1.hdslb.com/bfs/face/8483742055804c01b8dea9e385d38e1738fe4683.jpg
36,0,285098024577,478805996,饼丶,5,男,[星星眼]有种科学发展的美,2026-01-01 05:35:35,1,8,,广东,是,https://i2.hdslb.com/bfs/face/57caf717435941bb4b43566da633101069c5ac3d.jpg
37,285098024577,285153895041,393672088,无敌战神嚯哈哈哈哈哈,6,男,雪花有种新时代的美,2026-01-01 14:56:14,0,0,没错我就是粉红pink，而且我以此为荣,天津,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
38,0,287070529728,1022668238,心碎的数学人,5,保密,迎接一年晨曦,2025-12-31 12:08:57,0,9,我们必须知道，我们必将知道,河南,否,https://i2.hdslb.com/bfs/face/1e4e803270680ed2b82a5d9f99955a150563c3f6.jpg
39,0,285018147985,22608175,皮卡丘的底迪皮在痒,6,男,新的一年，多赚钱，赚大钱，大赚钱，一切都顺顺顺，平安幸福，健康快乐✅🍀🔆🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉,2025-12-31 11:14:46,0,5,,重庆,是,https://i1.hdslb.com/bfs/face/157b5a890eaf6b4be13dbeb94d913920128c0963.jpg
40,0,285000372849,3546965998569652,林北很愛國的臘,2,保密,不欢迎琼b,2025-12-31 08:13:25,0,6,,重庆,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
41,0,287035930208,551206722,FY星司,5,男,欣欣向荣的时代,2025-12-31 06:01:06,0,2,有时夜晚就像一座森林，每个人都努力发着光,北京,是,https://i0.hdslb.com/bfs/face/f1783eb411e4c12a5c2d6237cad9aca3f4e110af.jpg
42,0,284957954497,359370579,sapphireaio,5,保密,北京欢迎你已经惨遭翻唱了[大哭][大哭][大哭],2025-12-30 19:19:20,0,1,,广东,否,https://i0.hdslb.com/bfs/face/c5e50612951e8a2c798651870e05ce0382fe931f.jpg
43,0,284951545329,33023188,Eduardo岸,5,男,当你拥抱世界，世界才会拥抱你,2025-12-30 16:54:36,0,3,,四川,是,http://i1.hdslb.com/bfs/face/e2b762652b3694fa95765985fee1cd6f2cece696.jpg
44,0,286988458192,315971342,卜丁蒸鱼,6,保密,那年上幼儿园，看过奥运直播，记得有个小女孩在汶川地震被困了好几天然后被救出来了,2025-12-30 15:32:00,0,1,憧憬成为眼里有光的朝鲜人,广东,否,https://i2.hdslb.com/bfs/face/6a89e0985cf496f9a4f22dae373cef7648df3e14.jpg
45,0,286971177568,17675613,总有一些瑞兹,6,男,那年我十四岁。。。,2025-12-30 12:47:01,0,0,懒得跟你对线,广东,是,https://i0.hdslb.com/bfs/face/member/noface.jpg
46,0,286920986320,18425732,月十焰火,6,男,当年真的是民族自信,2025-12-30 03:20:43,6,7,真常应物，真常得性，常应常静，常清静矣,湖南,是,https://i2.hdslb.com/bfs/face/ff58004f6126d41b7f182bc187bcd00a549f8896.jpg
47,286920986320,285010664817,14841188,理科生田,6,男,反了，那是个公知横行的年代，啥都是国外香。,2025-12-31 10:04:26,0,9,这个人打算尝试熟悉AI。,江苏,否,https://i2.hdslb.com/bfs/face/15ba67d387b65da932f9b842d3798695e28fe9ee.jpg
48,286920986320,287107760048,11143231,软心跳A,6,女,08年那阵子公知太狠了，现在爱国情绪反而要高太多了,2025-12-31 18:16:36,0,6,柔弱以静，舒安以定,河北,否,https://i1.hdslb.com/bfs/face/c71f6155ed845d51da73e4128c9103e99bdd6567.jpg
49,287107760048,287127344640,18425732,月十焰火,6,男,回复 @软心跳A : 但是办奥运真的举国上下都很开心自信,2026-01-01 02:26:37,0,0,真常应物，真常得性，常应常静，常清静矣,湖南,是,https://i2.hdslb.com/bfs/face/ff58004f6126d41b7f182bc187bcd00a549f8896.jpg
50,286920986320,287335665216,271620429,可爱小英豪,6,保密,以前条件差过年了才能吃到好吃的，现在条件好了开始嫌弃没年味了是吧[抠鼻],2026-01-02 19:28:36,0,1,,广东,否,https://i0.hdslb.com/bfs/face/df9f951dc6c241459551de9cb0567093cfab543f.jpg
51,285010664817,287391251264,360651829,表逼我2001,6,保密,回复 @理科生田 :承认差距就是公知？,2026-01-03 09:20:44,0,1,,安徽,是,https://i1.hdslb.com/bfs/face/88a4e1c9b090688c545f77a717a9ff7fec890a6d.jpg
52,285010664817,287391379424,360651829,表逼我2001,6,保密,回复 @理科生田 :夸别人就是公知？,2026-01-03 09:20:56,0,1,,安徽,是,https://i1.hdslb.com/bfs/face/88a4e1c9b090688c545f77a717a9ff7fec890a6d.jpg
53,0,284842765409,4750955,鹅肝寿司吃吃吃,6,保密,90后奔三的我再看早已泪流满面,2025-12-29 14:31:33,0,2,,浙江,否,http://i2.hdslb.com/bfs/face/02e102f4cda4b5f8845ea72301469459bad17353.jpg
54,0,286881072352,23289718,米苏芊misu,6,保密,17 年了,2025-12-29 14:15:06,0,1,POE/炉石老玩家，也是名前端+客户端开发,广东,是,https://i1.hdslb.com/bfs/face/aed39045ccbbfede0f5916aa980369a817028a66.jpg
55,0,284819797985,441529551,一只路过的狸仔,5,女,现在听仍然感动[鼓掌][鼓掌][鼓掌],2025-12-29 10:44:49,0,4,杂食党，什么都会一点。批娃儿,四川,否,https://i0.hdslb.com/bfs/face/826de63059afc05d0d1e0d2b6a8071fecc241be6.jpg
56,0,284809591393,315657159,hysdd,6,男,不赖,2025-12-29 08:54:25,0,0,生活因简单而快乐,新疆,是,https://i0.hdslb.com/bfs/face/6d463fe0cd3868c2c65662f70ca5f690e454c9ad.jpg
57,0,286838399856,822103,燃的年,6,保密,我都没享受几天就结束了是吧[喜极而泣],2025-12-29 06:39:34,0,2,回到当下,河南,是,https://i1.hdslb.com/bfs/face/2294364ac3e876483cead97fba7747c5f2215184.jpg
58,0,284773021745,21365561,超级玛量,6,男,哈哈，那年林俊杰还只是阿杜带出来的小师弟[大笑],2025-12-29 00:23:19,0,0,回归本我,山西,是,https://i2.hdslb.com/bfs/face/230fcfe8ad073e4637d40e69d3dd292d5a98c9ab.jpg
59,0,286801060800,379384728,左边是李白,6,男,好像是林夕写的词？,2025-12-28 18:22:28,0,1,激浊扬清,湖北,否,https://i0.hdslb.com/bfs/face/0c25013c27f771c5b9033b1febdfef5d4d4f8fb3.jpg
60,0,286789894336,688437301,这就是甩头的韦鲁斯嘛,5,保密,竟然二十年了,2025-12-28 15:44:07,0,0,,瑞典,是,https://i1.hdslb.com/bfs/face/ca7919f3b0ea96ef1f72add199a2711849660e3b.jpg
61,0,284739215553,284087477,打开水龙头啊-,6,保密,不堪回首月明中,2025-12-28 13:22:56,0,3,,上海,是,https://i2.hdslb.com/bfs/face/395d4e45ef49747e591c674fe1196803ee3a7a86.jpg
