序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,285530573425,383819267,大鸡腿_bili,3,男,已关注  已三连   求资料，感谢大佬,2026-01-05 08:55:21,1,4,学习双节棍疾计划,北京,否,https://i2.hdslb.com/bfs/face/11e027ed89c46f2be4c70501555364ee1e99348b.jpg
2,285530573425,287594291664,1741962246,IT界扛霸子,6,保密,发了 观我看消息！不要相信其他人，认准up主[抱拳]只有这一个号！,2026-01-05 09:24:02,0,0,官方助手【V： nnbb3326】领娶相关栀料，免废答疑问题～,云南,是,https://i0.hdslb.com/bfs/face/330a8ac40ac349d550961219984ba2fc269661ab.jpg
3,0,285529268049,393817762,歌金稀里哗啦,3,保密,已三联，求资料，谢谢分享,2026-01-05 08:40:27,1,3,,辽宁,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
4,285529268049,287591645520,1741962246,IT界扛霸子,6,保密,发了 观我看消息！不要相信其他人，认准up主[抱拳]只有这一个号！,2026-01-05 08:51:01,0,0,官方助手【V： nnbb3326】领娶相关栀料，免废答疑问题～,云南,是,https://i0.hdslb.com/bfs/face/330a8ac40ac349d550961219984ba2fc269661ab.jpg
5,0,285528373777,487854582,等离子科技,5,保密,已三连，求资料。,2026-01-05 08:26:45,1,2,,湖北,否,http://i2.hdslb.com/bfs/face/20960710cf35b86640fe340f10f6f61a340ffc85.jpg
6,285528373777,287591647824,1741962246,IT界扛霸子,6,保密,发了 观我看消息！不要相信其他人，认准up主[抱拳]只有这一个号！,2026-01-05 08:51:05,0,0,官方助手【V： nnbb3326】领娶相关栀料，免废答疑问题～,云南,是,https://i0.hdslb.com/bfs/face/330a8ac40ac349d550961219984ba2fc269661ab.jpg
7,0,285525679185,386465771,yohnyang,3,男,已三连，求分享,2026-01-05 07:48:58,1,4,菩提本无树，明镜亦非台,北京,否,http://i2.hdslb.com/bfs/face/5b83b6459e11e9eb94832d1b8683e8dc950181dc.jpg
8,285525679185,287591714400,1741962246,IT界扛霸子,6,保密,发了 观我看消息！不要相信其他人，认准up主[抱拳]只有这一个号！,2026-01-05 08:51:08,0,0,官方助手【V： nnbb3326】领娶相关栀料，免废答疑问题～,云南,是,https://i0.hdslb.com/bfs/face/330a8ac40ac349d550961219984ba2fc269661ab.jpg
9,0,285524446145,297341679,啦啦啦丶丶颠颠,4,男,已三连，求资料,2026-01-05 07:30:36,1,5,,河北,是,https://i0.hdslb.com/bfs/face/952bddaa1054236b8770a02f7ff9828bb77cca4b.jpg
10,285524446145,287586185248,1741962246,IT界扛霸子,6,保密,发了 观我看消息！不要相信其他人，认准up主[抱拳]只有这一个号！,2026-01-05 07:36:09,0,0,官方助手【V： nnbb3326】领娶相关栀料，免废答疑问题～,云南,是,https://i0.hdslb.com/bfs/face/330a8ac40ac349d550961219984ba2fc269661ab.jpg
11,0,287584858192,22372301,跳跳骑士_114514,6,男,已三连，谢谢分享[tv_点赞],2026-01-05 07:19:05,1,5,如虎添翼!,重庆,是,https://i2.hdslb.com/bfs/face/ca0bf6da6dcce8471e4826e9be82de02c3c6f8e3.jpg
12,287584858192,287585380432,1741962246,IT界扛霸子,6,保密,发了 观我看消息！不要相信其他人，认准up主[抱拳]只有这一个号！,2026-01-05 07:23:50,0,0,官方助手【V： nnbb3326】领娶相关栀料，免废答疑问题～,云南,是,https://i0.hdslb.com/bfs/face/330a8ac40ac349d550961219984ba2fc269661ab.jpg
13,0,287583923936,3493123896379403,爱打游戏的栋子,4,男,已三连,2026-01-05 07:02:02,1,5,我实在是太爱玩游戏啦～,江苏,否,https://i2.hdslb.com/bfs/face/e6c6e5bec9034a79651f85334b57b157755c33e9.jpg
14,287583923936,287584492192,1741962246,IT界扛霸子,6,保密,发了 观我看消息！不要相信其他人，认准up主[抱拳]只有这一个号！,2026-01-05 07:11:31,0,0,官方助手【V： nnbb3326】领娶相关栀料，免废答疑问题～,云南,是,https://i0.hdslb.com/bfs/face/330a8ac40ac349d550961219984ba2fc269661ab.jpg
