"discipline","Institutions","Cites","Top_Papers","Cites_Per_Paper","rank_position"
"agricultural_sciences","NEW YORK UNIVERSITY","4749","6","18.85","1065"
"agricultural_sciences","UNIVERSITY OF IOANNINA","4749","2","16.49","1065"
"agricultural_sciences","CHINA JILIANG UNIVERSITY","4749","4","14.01","1065"
"agricultural_sciences","ADNAN MENDERES UNIVERSITY","4747","2","11.66","1066"
"agricultural_sciences","ROYAL INSTITUTE OF TECHNOLOGY","4740","8","27.88","1067"
"agricultural_sciences","ICAR - NATIONAL RICE RESEARCH INSTITUTE","4731","3","14.16","1068"
"agricultural_sciences","FED UNIV TECHNOL AKURE","4730","1","13.51","1069"
"agricultural_sciences","UNIVERSITY OF VETERINARY MEDICINE HANNOVER","4721","0","13.61","1070"
"agricultural_sciences","INT INST TROP AGR","4718","5","17.74","1071"
"agricultural_sciences","UNIVERSITY OF CALIFORNIA IRVINE","4714","4","23.69","1072"
"agricultural_sciences","GURU ANGAD DEV VETERINARY & ANIMAL SCIENCES UNIVERSITY (GADVASU)","4713","6","7.45","1073"
"agricultural_sciences","HUNAN ACAD FORESTRY","4711","12","24.93","1074"
"agricultural_sciences","HARBIN UNIVERSITY OF COMMERCE","4704","8","12.19","1075"
"agricultural_sciences","BIOVERSITY INTERNATIONAL","4697","2","17.59","1076"
"agricultural_sciences","BOGOR AGRICULTURAL UNIVERSITY","4694","1","9.54","1077"
"agricultural_sciences","INST FED EDUC CIENCIA & TECNOL RIO DE JANEIRO IFR","4692","2","39.76","1078"
"agricultural_sciences","ALIGARH MUSLIM UNIVERSITY","4690","7","17.5","1079"
"agricultural_sciences","BEIJING UNIVERSITY OF AGRICULTURE","4683","0","13.12","1080"
"agricultural_sciences","NETHERLANDS ORGANIZATION APPLIED SCIENCE RESEARCH","4674","6","32.01","1081"
"agricultural_sciences","CAPITAL MEDICAL UNIVERSITY","4670","3","11.07","1082"
"agricultural_sciences","TIANJIN UNIVERSITY OF COMMERCE","4665","0","17.21","1083"
"agricultural_sciences","FUNDACAO OSWALDO CRUZ","4665","5","12.15","1083"
"agricultural_sciences","QATAR UNIVERSITY","4664","5","13.76","1084"
"agricultural_sciences","PANJAB UNIVERSITY","4656","7","21.86","1085"
"agricultural_sciences","SOUTHERN ILLINOIS UNIVERSITY SYSTEM","4655","4","17.43","1086"
"agricultural_sciences","UNIVERSITY OF VETERINARY & ANIMAL SCIENCE - PAKISTAN","4648","3","8.74","1087"
"agricultural_sciences","JOMO KENYATTA UNIVERSITY OF AGRICULTURE & TECHNOLOGY","4647","2","18.08","1088"
"agricultural_sciences","DALIAN MINZU UNIVERSITY","4646","2","17.8","1089"
"agricultural_sciences","YANTAI UNIVERSITY","4646","6","14.84","1089"
"agricultural_sciences","HOSPITAL DEL MAR RESEARCH INSTITUTE","4643","3","22.43","1090"
"agricultural_sciences","AGENCE NATIONALE DE SECURITE SANITAIRE DE L'ALIMENTATION, DE L'ENVIRONNEMENT DU TRAVAIL (ANSES)","4640","3","15.95","1091"
"agricultural_sciences","UNIVERSITAT D'ALACANT","4629","2","11.78","1092"
"agricultural_sciences","UNIVERSIDADE ESTADUAL DO NORTE FLUMINENSE","4625","2","9.23","1093"
"agricultural_sciences","DALIAN UNIVERSITY OF TECHNOLOGY","4619","1","18.78","1094"
"agricultural_sciences","PACIFIC NORTHWEST NATIONAL LABORATORY","4608","7","29.73","1095"
"agricultural_sciences","FUJIAN ACADEMY OF AGRICULTURAL SCIENCES","4608","1","11.05","1095"
"agricultural_sciences","UNIVERSITY OF PUNJAB","4606","3","9.88","1096"
"agricultural_sciences","AGRI-FOOD & BIOSCIENCES INSTITUTE","4604","2","17.91","1097"
"agricultural_sciences","PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO","4601","1","12.24","1098"
"agricultural_sciences","DUNAREA DE JOS UNIVERSITY GALATI","4594","4","19.55","1099"
"agricultural_sciences","NATIONAL CENTER GENETIC ENGINEERING & BIOTECHNOLOGY (BIOTEC)","4591","3","16.22","1100"
"agricultural_sciences","TRINITY COLLEGE DUBLIN","4583","2","20.64","1101"
"agricultural_sciences","DAMANHOUR UNIVERSITY","4575","4","18.23","1102"
"agricultural_sciences","CINVESTAV - CENTRO DE INVESTIGACION Y DE ESTUDIOS AVANZADOS DEL INSTITUTO POLITECNICO NACIONAL","4574","1","14.47","1103"
"agricultural_sciences","UNIVERSITY OF TWENTE","4570","3","25.53","1104"
"agricultural_sciences","LOUGHBOROUGH UNIVERSITY","4561","4","23.51","1105"
"agricultural_sciences","UNIVERSITE PAUL-VALERY","4546","4","22.62","1106"
"agricultural_sciences","ASIAN INSTITUTE OF TECHNOLOGY","4537","3","21.3","1107"
"agricultural_sciences","INSTITUTE OF BIOLOGICAL, ENVIRONMENTAL, RURAL & SCIENCES (IBERS)","4532","4","25.9","1108"
"agricultural_sciences","UNIVERSIDAD DE SONORA","4531","1","13.21","1109"
"agricultural_sciences","ISTANBUL UNIVERSITY","4525","5","16.95","1110"
"agricultural_sciences","RAZI UNIVERSITY","4519","2","16.99","1111"
