"discipline"	"region"	"total_cites"	"total_top_papers"	"avg_cites_per_paper"	"cite_rank"	"top_paper_rank"	"avg_cite_rank"
"agricultural_sciences"	"CHINA MAINLAND"	"5080975"	"4615"	"17.751116"	"1"	"1"	"42"
"agricultural_sciences"	"USA"	"3457462"	"2669"	"22.252857"	"2"	"2"	"16"
"agricultural_sciences"	"FRANCE"	"1178568"	"788"	"21.944516"	"3"	"3"	"19"
"agricultural_sciences"	"SPAIN"	"1091486"	"663"	"20.552"	"4"	"4"	"30"
"agricultural_sciences"	"ITALY"	"854174"	"607"	"22.383019"	"5"	"5"	"15"
"agricultural_sciences"	"BRAZIL"	"831385"	"303"	"11.94"	"6"	"12"	"75"
"agricultural_sciences"	"AUSTRALIA"	"712550"	"492"	"21.121429"	"7"	"6"	"24"
"agricultural_sciences"	"GERMANY (FED REP GER)"	"629669"	"457"	"21.75963"	"8"	"7"	"20"
"agricultural_sciences"	"N/A"	"529455"	"430"	"27.4646"	"9"	"8"	"3"
"agricultural_sciences"	"INDIA"	"501236"	"412"	"15.892093"	"10"	"10"	"54"
"agricultural_sciences"	"ENGLAND"	"487305"	"423"	"25.159459"	"11"	"9"	"8"
"agricultural_sciences"	"CANADA"	"443223"	"323"	"23.477143"	"12"	"11"	"12"
"agricultural_sciences"	"SOUTH KOREA"	"385366"	"242"	"14.584286"	"13"	"15"	"63"
"agricultural_sciences"	"IRAN"	"373293"	"298"	"20.419286"	"14"	"13"	"32"
"agricultural_sciences"	"NETHERLANDS"	"326522"	"265"	"27.1905"	"15"	"14"	"4"
"agricultural_sciences"	"EGYPT"	"264155"	"242"	"16.232353"	"16"	"15"	"50"
"agricultural_sciences"	"POLAND"	"252118"	"193"	"17.287308"	"17"	"17"	"44"
"agricultural_sciences"	"PORTUGAL"	"221094"	"148"	"23.052857"	"18"	"19"	"14"
"agricultural_sciences"	"TURKIYE"	"194684"	"112"	"14.222593"	"19"	"23"	"68"
"agricultural_sciences"	"NEW ZEALAND"	"178317"	"126"	"20.949091"	"20"	"21"	"25"
"agricultural_sciences"	"SWITZERLAND"	"176340"	"164"	"21.631667"	"21"	"18"	"21"
"agricultural_sciences"	"BELGIUM"	"174421"	"122"	"25.2"	"22"	"22"	"7"
"agricultural_sciences"	"IRELAND"	"162611"	"139"	"25.47"	"23"	"20"	"6"
"agricultural_sciences"	"DENMARK"	"158543"	"98"	"19.886"	"24"	"26"	"35"
"agricultural_sciences"	"MEXICO"	"147375"	"73"	"14.524118"	"25"	"30"	"65"
"agricultural_sciences"	"ARGENTINA"	"144576"	"50"	"15.95625"	"26"	"37"	"53"
"agricultural_sciences"	"PAKISTAN"	"140354"	"107"	"13.56"	"27"	"24"	"73"
"agricultural_sciences"	"JAPAN"	"134770"	"43"	"13.717059"	"28"	"41"	"72"
"agricultural_sciences"	"MALAYSIA"	"127007"	"106"	"17.095455"	"29"	"25"	"45"
"agricultural_sciences"	"SWEDEN"	"110467"	"83"	"21.427778"	"30"	"28"	"22"
"agricultural_sciences"	"THAILAND"	"110447"	"56"	"15.013333"	"31"	"33"	"60"
"agricultural_sciences"	"GREECE"	"91750"	"63"	"17.756"	"32"	"31"	"41"
"agricultural_sciences"	"FINLAND"	"90475"	"62"	"22.05875"	"33"	"32"	"17"
"agricultural_sciences"	"SAUDI ARABIA"	"83509"	"92"	"14.31"	"34"	"27"	"67"
"agricultural_sciences"	"TAIWAN"	"81800"	"37"	"16.659091"	"35"	"44"	"47"
"agricultural_sciences"	"SOUTH AFRICA"	"79475"	"42"	"14.631111"	"36"	"42"	"62"
"agricultural_sciences"	"CZECH REPUBLIC"	"76256"	"45"	"16.488889"	"37"	"40"	"49"
"agricultural_sciences"	"RUSSIA"	"71297"	"75"	"20.572857"	"38"	"29"	"29"
"agricultural_sciences"	"SCOTLAND"	"65971"	"56"	"23.202857"	"39"	"33"	"13"
"agricultural_sciences"	"TUNISIA"	"65149"	"33"	"17.618571"	"40"	"46"	"43"
"agricultural_sciences"	"AUSTRIA"	"61902"	"49"	"29.616667"	"41"	"38"	"2"
"agricultural_sciences"	"NORWAY"	"59424"	"49"	"19.258333"	"42"	"38"	"37"
"agricultural_sciences"	"CHILE"	"59126"	"15"	"14.56625"	"43"	"53"	"64"
"agricultural_sciences"	"SERBIA"	"51209"	"33"	"15.58"	"44"	"46"	"58"
"agricultural_sciences"	"SINGAPORE"	"48101"	"55"	"19.596667"	"45"	"35"	"36"
"agricultural_sciences"	"ISRAEL"	"47050"	"35"	"20.138"	"46"	"45"	"34"
"agricultural_sciences"	"HONG KONG"	"44077"	"54"	"25.13"	"47"	"36"	"9"
"agricultural_sciences"	"KENYA"	"37880"	"25"	"20.798"	"48"	"49"	"28"
"agricultural_sciences"	"CROATIA"	"35680"	"38"	"17.94"	"49"	"43"	"40"
"agricultural_sciences"	"WALES"	"33253"	"31"	"24.47"	"50"	"48"	"11"
"agricultural_sciences"	"HUNGARY"	"29764"	"25"	"14.402"	"51"	"49"	"66"
"agricultural_sciences"	"COLOMBIA"	"27664"	"12"	"15.843333"	"52"	"58"	"55"
"agricultural_sciences"	"NORTHERN IRELAND"	"27536"	"14"	"21.973333"	"53"	"55"	"18"
"agricultural_sciences"	"BANGLADESH"	"21977"	"13"	"19.11"	"54"	"57"	"38"
"agricultural_sciences"	"PHILIPPINES"	"21556"	"9"	"15.795"	"55"	"59"	"56"
"agricultural_sciences"	"ROMANIA"	"19929"	"21"	"20.15"	"56"	"51"	"33"
"agricultural_sciences"	"URUGUAY"	"18572"	"8"	"14.17"	"57"	"61"	"69"
"agricultural_sciences"	"VIETNAM"	"13915"	"18"	"26.203333"	"58"	"52"	"5"
"agricultural_sciences"	"SLOVENIA"	"13755"	"7"	"16.2"	"59"	"62"	"51"
"agricultural_sciences"	"LITHUANIA"	"13010"	"2"	"15.01"	"60"	"76"	"61"
"agricultural_sciences"	"NIGERIA"	"11236"	"4"	"12.49"	"61"	"66"	"74"
"agricultural_sciences"	"UNITED ARAB EMIRATES"	"10888"	"14"	"20.86"	"62"	"55"	"27"
"agricultural_sciences"	"GHANA"	"10323"	"4"	"11.19"	"63"	"66"	"76"
"agricultural_sciences"	"ETHIOPIA"	"10204"	"4"	"10.46"	"64"	"66"	"78"
"agricultural_sciences"	"MACAU"	"10139"	"15"	"37.69"	"65"	"53"	"1"
"agricultural_sciences"	"JORDAN"	"8719"	"5"	"16.175"	"66"	"64"	"52"
"agricultural_sciences"	"INDONESIA"	"8642"	"1"	"9.225"	"67"	"77"	"80"
"agricultural_sciences"	"LEBANON"	"8004"	"7"	"16.655"	"68"	"62"	"48"
"agricultural_sciences"	"OMAN"	"7798"	"9"	"20.91"	"69"	"59"	"26"
"agricultural_sciences"	"SLOVAKIA"	"6000"	"3"	"11.15"	"70"	"73"	"77"
"agricultural_sciences"	"COTE IVOIRE"	"5904"	"4"	"24.7"	"71"	"66"	"10"
"agricultural_sciences"	"ALGERIA"	"5644"	"3"	"20.45"	"72"	"73"	"31"
"agricultural_sciences"	"PERU"	"5546"	"1"	"15.76"	"73"	"77"	"57"
"agricultural_sciences"	"SRI LANKA"	"5357"	"3"	"18.41"	"74"	"73"	"39"
"agricultural_sciences"	"MOROCCO"	"4983"	"4"	"15.52"	"75"	"66"	"59"
"agricultural_sciences"	"QATAR"	"4664"	"5"	"13.76"	"76"	"64"	"71"
"agricultural_sciences"	"CYPRUS"	"4273"	"1"	"21.36"	"77"	"77"	"23"
"agricultural_sciences"	"ZIMBABWE"	"3792"	"4"	"16.85"	"78"	"66"	"46"
"agricultural_sciences"	"BENIN"	"3772"	"0"	"8.61"	"79"	"81"	"81"
"agricultural_sciences"	"UGANDA"	"3754"	"1"	"10.43"	"80"	"77"	"79"
"agricultural_sciences"	"BULGARIA"	"3706"	"4"	"13.83"	"81"	"66"	"70"
"agricultural_sciences"	""	"0"	"0"	"0"	"82"	"81"	"82"
"biology_biochemistry"	"USA"	"20956195"	"15140"	"46.555649"	"1"	"1"	"13"
"biology_biochemistry"	"CHINA MAINLAND"	"6218009"	"4173"	"20.903592"	"2"	"2"	"53"
"biology_biochemistry"	"GERMANY (FED REP GER)"	"4193186"	"2707"	"39.067917"	"3"	"3"	"23"
"biology_biochemistry"	"FRANCE"	"3850282"	"2011"	"31.605301"	"4"	"5"	"33"
"biology_biochemistry"	"ENGLAND"	"3413307"	"2389"	"51.770563"	"5"	"4"	"11"
"biology_biochemistry"	"CANADA"	"1472804"	"860"	"39.06439"	"6"	"6"	"24"
"biology_biochemistry"	"SPAIN"	"1455866"	"699"	"37.015224"	"7"	"10"	"25"
"biology_biochemistry"	"AUSTRALIA"	"1404878"	"774"	"43.750667"	"8"	"8"	"17"
"biology_biochemistry"	"ITALY"	"1373949"	"646"	"29.996"	"9"	"12"	"37"
"biology_biochemistry"	"N/A"	"1277984"	"651"	"3031.247708"	"10"	"11"	"1"
"biology_biochemistry"	"JAPAN"	"1225112"	"489"	"46.526154"	"11"	"14"	"14"
"biology_biochemistry"	"SWITZERLAND"	"1217992"	"855"	"41.301364"	"12"	"7"	"21"
"biology_biochemistry"	"NETHERLANDS"	"1144652"	"744"	"40.27375"	"13"	"9"	"22"
"biology_biochemistry"	"SOUTH KOREA"	"1033293"	"548"	"22.499362"	"14"	"13"	"49"
"biology_biochemistry"	"INDIA"	"821090"	"341"	"19.208667"	"15"	"17"	"57"
"biology_biochemistry"	"DENMARK"	"732516"	"402"	"43.532143"	"16"	"16"	"19"
"biology_biochemistry"	"SWEDEN"	"685193"	"403"	"32.586923"	"17"	"15"	"31"
"biology_biochemistry"	"BRAZIL"	"537007"	"191"	"23.678"	"18"	"25"	"45"
"biology_biochemistry"	"BELGIUM"	"519557"	"318"	"43.62"	"19"	"18"	"18"
"biology_biochemistry"	"AUSTRIA"	"458907"	"288"	"75.174762"	"20"	"19"	"6"
"biology_biochemistry"	"EGYPT"	"451589"	"244"	"19.423125"	"21"	"20"	"56"
"biology_biochemistry"	"RUSSIA"	"392838"	"157"	"23.304737"	"22"	"28"	"47"
"biology_biochemistry"	"IRAN"	"382805"	"166"	"22.718333"	"23"	"26"	"48"
"biology_biochemistry"	"TAIWAN"	"375871"	"208"	"21.835"	"24"	"21"	"51"
"biology_biochemistry"	"POLAND"	"348496"	"150"	"20.0708"	"25"	"29"	"55"
"biology_biochemistry"	"SINGAPORE"	"320977"	"193"	"54.76875"	"26"	"24"	"8"
"biology_biochemistry"	"SCOTLAND"	"309306"	"203"	"36.831"	"27"	"22"	"26"
