"discipline"	"Institutions"	"total_cites"	"avg_cites_per_paper"	"total_top_papers"
"agricultural_sciences"	"CHINESE ACADEMY OF SCIENCES"	"332254"	"21.22"	"251"
"agricultural_sciences"	"CHINESE ACADEMY OF AGRICULTURAL SCIENCES"	"223855"	"18.32"	"198"
"agricultural_sciences"	"CHINA AGRICULTURAL UNIVERSITY"	"207779"	"20.67"	"166"
"agricultural_sciences"	"JIANGNAN UNIVERSITY"	"181325"	"22.59"	"166"
"agricultural_sciences"	"NORTHWEST A&F UNIVERSITY - CHINA"	"180634"	"20.02"	"162"
"agricultural_sciences"	"NANJING AGRICULTURAL UNIVERSITY"	"137921"	"21.28"	"99"
"agricultural_sciences"	"UNIVERSITY OF CHINESE ACADEMY OF SCIENCES, CAS"	"127682"	"21.46"	"95"
"agricultural_sciences"	"ZHEJIANG UNIVERSITY"	"125715"	"23.66"	"148"
"agricultural_sciences"	"SOUTH CHINA UNIVERSITY OF TECHNOLOGY"	"108282"	"30.73"	"117"
"agricultural_sciences"	"HUAZHONG AGRICULTURAL UNIVERSITY"	"97482"	"20.08"	"68"
"agricultural_sciences"	"JIANGSU UNIVERSITY"	"89040"	"21.8"	"176"
"agricultural_sciences"	"NORTHEAST AGRICULTURAL UNIVERSITY - CHINA"	"72600"	"18.67"	"101"
"agricultural_sciences"	"NANCHANG UNIVERSITY"	"71192"	"26.11"	"84"
"agricultural_sciences"	"BEIJING TECHNOLOGY & BUSINESS UNIVERSITY"	"70943"	"22.4"	"82"
"agricultural_sciences"	"SOUTH CHINA AGRICULTURAL UNIVERSITY"	"59314"	"15.71"	"25"
"agricultural_sciences"	"SOUTHWEST UNIVERSITY - CHINA"	"48558"	"17.17"	"34"
"agricultural_sciences"	"YANGZHOU UNIVERSITY"	"47513"	"15.71"	"47"
"agricultural_sciences"	"FUJIAN AGRICULTURE & FORESTRY UNIVERSITY"	"46135"	"18.35"	"38"
"agricultural_sciences"	"TIANJIN UNIVERSITY SCIENCE & TECHNOLOGY"	"45053"	"21.64"	"40"
"agricultural_sciences"	"SHANGHAI JIAO TONG UNIVERSITY"	"42444"	"18.71"	"38"
"agricultural_sciences"	"SHANDONG AGRICULTURAL UNIVERSITY"	"42394"	"18.01"	"29"
"agricultural_sciences"	"SICHUAN AGRICULTURAL UNIVERSITY"	"42055"	"16.05"	"34"
"agricultural_sciences"	"NANJING INSTITUTE OF SOIL SCIENCE, CAS"	"40712"	"26"	"36"
"agricultural_sciences"	"INSTITUTE OF SOIL & WATER CONSERVATION (ISWC), CAS"	"38399"	"24.27"	"32"
"agricultural_sciences"	"DALIAN POLYTECHNIC UNIVERSITY"	"37557"	"16.42"	"36"
"agricultural_sciences"	"ANHUI AGRICULTURAL UNIVERSITY"	"37284"	"18.54"	"47"
"agricultural_sciences"	"SHENYANG AGRICULTURAL UNIVERSITY"	"34782"	"15.65"	"19"
"agricultural_sciences"	"OCEAN UNIVERSITY OF CHINA"	"34382"	"19.64"	"39"
"agricultural_sciences"	"INSTITUTE OF FOOD SCIENCE & TECHNOLOGY, CAAS"	"33406"	"21.09"	"38"
"agricultural_sciences"	"NANJING FORESTRY UNIVERSITY"	"32896"	"14.69"	"34"
