"discipline"	"Institutions"	"rank_by_id"
"agricultural_sciences"	"EAST CHINA NORMAL UNIVERSITY"	"845"
"biology_biochemistry"	"EAST CHINA NORMAL UNIVERSITY"	"721"
"chemistry"	"EAST CHINA NORMAL UNIVERSITY"	"90"
"clinical_medicine"	"EAST CHINA NORMAL UNIVERSITY"	"2852"
"engineering"	"EAST CHINA NORMAL UNIVERSITY"	"317"
"environment_ecology"	"EAST CHINA NORMAL UNIVERSITY"	"130"
"geosciences"	"EAST CHINA NORMAL UNIVERSITY"	"275"
"materials_science"	"EAST CHINA NORMAL UNIVERSITY"	"196"
"mathematics"	"EAST CHINA NORMAL UNIVERSITY"	"115"
"molecular_biology_genetics"	"EAST CHINA NORMAL UNIVERSITY"	"867"
"neuroscience_behavior"	"EAST CHINA NORMAL UNIVERSITY"	"853"
"pharmacology_toxicology"	"EAST CHINA NORMAL UNIVERSITY"	"1064"
"plant_animal_science"	"EAST CHINA NORMAL UNIVERSITY"	"395"
"psychiatry_psychology"	"EAST CHINA NORMAL UNIVERSITY"	"467"
"social_sciences_general"	"EAST CHINA NORMAL UNIVERSITY"	"314"
